time,iso,plot_0,plot_1,rsi,open,high,low,close,volume
1640739600,2021-12-29T01:00:00.000Z,0,0,52.17108148083667,79.07,80.16,77.58,77.89,0
1641164400,2022-01-02T23:00:00.000Z,0,0,58.26365565214163,78.12,82.81,77.06,81.99,0
1641517200,2022-01-07T01:00:00.000Z,0,0,61.75688424107715,82,85.18,80.52,84.72,0
1642035600,2022-01-13T01:00:00.000Z,0,0,65.92014913942609,84.73,88.5,83.81,88.42,0
1642554000,2022-01-19T01:00:00.000Z,0,0,63.25447751007398,88.43,89.46,85.07,87.09,0
1643072400,2022-01-25T01:00:00.000Z,0,0,67.10988216232244,87.11,91.68,86.23,90.67,0
1643583600,2022-01-30T23:00:00.000Z,0,0,67.4387476317956,90.82,91.38,87.75,90.99,0
1643936400,2022-02-04T01:00:00.000Z,0,0,68.17761979010896,90.98,93.96,89.97,91.68,0
1644454800,2022-02-10T01:00:00.000Z,0,0,69.96470390234656,91.66,96.74,90.56,93.36,0
1644973200,2022-02-16T01:00:00.000Z,0,0,73.44442777684941,93.34,97.06,90.28,97,0
1645491600,2022-02-22T01:00:00.000Z,0,0,74.66040080484109,97.02,105.74,95.83,98.4,0
1646002800,2022-02-27T23:00:00.000Z,0,0,82.18434910151805,100.88,119.78,97.06,110.39,0
1646355600,2022-03-04T01:00:00.000Z,0,0,82.94398520389534,110.4,138.03,105.91,112.06,0
1646874000,2022-03-10T01:00:00.000Z,0,0,60.648250064302864,112.07,118.3,97.49,98.69,0
1647388800,2022-03-16T00:00:00.000Z,0,0,71.52415450891874,99.08,116.74,96.97,116.33,0
1647907200,2022-03-22T00:00:00.000Z,0,0,72.85687849987622,117.43,123.71,112.68,119.24,0
1648418400,2022-03-27T22:00:00.000Z,0,1,58.851377533029584,118.84,118.84,104.45,105.5,0
1648771200,2022-04-01T00:00:00.000Z,0,0,55.656411709508816,105.19999695,109.84,100.61,101.69,0
1649289600,2022-04-07T00:00:00.000Z,0,0,57.70720893511693,101.61,105.55,97.65,104.85,0
1649808000,2022-04-13T00:00:00.000Z,0,0,59.39669569802088,105.33,114.79,104.12,107.49,0
1650412800,2022-04-20T00:00:00.000Z,0,0,54.89697457217752,108.12,109.77,99.53,102.46,0
1650931200,2022-04-26T00:00:00.000Z,0,0,57.66424957575715,102.43,109.95,101.15,106.49,0
1651442400,2022-05-01T22:00:00.000Z,0,0,60.561118758693226,106.17,113.95,103.17,110.97,0
1651795200,2022-05-06T00:00:00.000Z,0,0,57.28222451062341,111.17,113.45,101.38,107.49,0
1652313600,2022-05-12T00:00:00.000Z,0,0,60.71784197207367,107.52,115.64,104.76,112.71,0
1652832000,2022-05-18T00:00:00.000Z,0,0,61.11783505452111,112.86,114.26,105.75,113.33,0
1653350400,2022-05-24T00:00:00.000Z,0,0,64.77495949668959,112.69,119.67,111.75,119.2,0
1653861600,2022-05-29T22:00:00.000Z,0,0,63.52531195251319,119.09,124.08,112.52,118.06,0
1654214400,2022-06-03T00:00:00.000Z,0,0,66.93592913910373,118,124.36,116.07,123.72,0
1654732800,2022-06-09T00:00:00.000Z,0,0,63.65181363862504,123.59,125.14,118.96,120.82,0
1655251200,2022-06-15T00:00:00.000Z,0,0,56.78228756838741,120.66,121.82,111.58,114.18,0
